edition_id,year,code,total_medals,host,gdppc,participants,hdi,country,gender_index,total_medals%,participants%,n_country,hf_score,hf_rank,hf_quartile,pf_rol_procedural,pf_rol_civil,pf_rol_criminal,pf_rol_vdem,pf_rol,pf_ss_homicide,pf_ss_homicide_data,pf_ss_disappearances_disap,pf_ss_disappearances_violent,pf_ss_disappearances_violent_data,pf_ss_disappearances_organized,pf_ss_disappearances_fatalities,pf_ss_disappearances_fatalities_data,pf_ss_disappearances_injuries,pf_ss_disappearances_injuries_data,pf_ss_disappearances_torture,pf_ss_killings,pf_ss_disappearances,pf_ss,pf_movement_vdem_foreign,pf_movement_vdem_men,pf_movement_vdem_women,pf_movement_vdem,pf_movement_cld,pf_movement,pf_religion_freedom_vdem,pf_religion_freedom_cld,pf_religion_freedom,pf_religion_suppression,pf_religion,pf_assembly_entry,pf_assembly_freedom_house,pf_assembly_freedom_bti,pf_assembly_freedom_cld,pf_assembly_freedom,pf_assembly_parties_barriers,pf_assembly_parties_bans,pf_assembly_parties_auton,pf_assembly_parties,pf_assembly_civil,pf_assembly,pf_expression_direct_killed,pf_expression_direct_killed_data,pf_expression_direct_jailed,pf_expression_direct_jailed_data,pf_expression_direct,pf_expression_vdem_cultural,pf_expression_vdem_harass,pf_expression_vdem_gov,pf_expression_vdem_internet,pf_expression_vdem_selfcens,pf_expression_vdem,pf_expression_house,pf_expression_bti,pf_expression_cld,pf_expression,pf_identity_same_m,pf_identity_same_f,pf_identity_same,pf_identity_divorce,pf_identity_inheritance_widows,pf_identity_inheritance_daughters,pf_identity_inheritance,pf_identity_fgm,pf_identity,pf_score,pf_rank,ef_government_consumption,ef_government_consumption_data,ef_government_transfers,ef_government_transfers_data,ef_government_investment,ef_government_investment_data,ef_government_tax_income,ef_government_tax_income_data,ef_government_tax_payroll,ef_government_tax_payroll_data,ef_government_tax,ef_government_soa,ef_government,ef_legal_judicial,ef_legal_courts,ef_legal_protection,ef_legal_military,ef_legal_integrity,ef_legal_enforcement,ef_legal_regulatory,ef_legal_police,ef_gender,ef_legal,ef_money_growth,ef_money_growth_data,ef_money_sd,ef_money_sd_data,ef_money_inflation,ef_money_inflation_data,ef_money_currency,ef_money,ef_trade_tariffs_revenue,ef_trade_tariffs_revenue_data,ef_trade_tariffs_mean,ef_trade_tariffs_mean_data,ef_trade_tariffs_sd,ef_trade_tariffs_sd_data,ef_trade_tariffs,ef_trade_regulatory_nontariff,ef_trade_regulatory_costs,ef_trade_regulatory,ef_trade_black,ef_trade_movement_open,ef_trade_movement_capital,ef_trade_movement_visit,ef_trade_movement_assets,ef_trade_movement,ef_trade,ef_regulation_credit_ownership,ef_regulation_credit_private,ef_regulation_credit_interest,ef_regulation_credit,ef_regulation_labor_minwage,ef_regulation_labor_firing,ef_regulation_labor_bargain,ef_regulation_labor_hours,ef_regulation_labor_dismissal,ef_regulation_labor_conscription,ef_regulation_labor_foreign,ef_regulation_labor,ef_regulation_business_burden,ef_regulation_business_costs,ef_regulation_business_impartial,ef_regulation_business_compliance,ef_regulation_business,ef_regulation_enter_openness,ef_regulation_enter_permits,ef_regulation_enter_distortion,ef_regulation_enter,ef_regulation,ef_score,ef_rank,political.regime,Capital city population (as a percentage of total population),Capital city population (as a percentage of total urban population),Capital city population (thousands),Rural population (percent growth rate per annum),Urban population (percent growth rate per annum),Urban population (percent),"Asylum seekers, including pending cases (number)",International migrant stock: Both sexes (% total population),International migrant stock: Both sexes (number),International migrant stock: Female (% total Population),International migrant stock: Male (% total Population),Other of concern to UNHCR (number),Total population of concern to UNHCR (number),Total refugees and people in refugee-like situations (number),Population aged 0 to 14 years old (percentage),Population aged 60+ years old (percentage),Population density,Population mid-year estimates (millions),Population mid-year estimates for females (millions),Population mid-year estimates for males (millions),Sex ratio (males per 100 females),Surface area (thousand km2),Cumulative_cases_covid,Cumulative_deaths_covid,gg_budg,gg_debt,revenue,expenditure,interest_exp,prim_expenditure,prim_balance,debt,rltir,rgc,pr,cl,status,gdp%change,"community health workers (per 1,000 people)",current health expenditure (% of gdp),current health expenditure per capita (current us$),"current health expenditure per capita, ppp (current international $)","mortality from cvd, cancer, diabetes or crd between exact ages 30 and 70 (%)","mortality rate attributed to household and ambient air pollution, age-standardized (per 100,000 population)","mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population)","mortality rate, adult, female (per 1,000 female adults)","mortality rate, adult, male (per 1,000 male adults)","mortality rate, infant (per 1,000 live births)","mortality rate, under-5 (per 1,000 live births)","suicide mortality rate (per 100,000 population)",gov_health_spending_usd,central_government,general_government,local_government,recreational_and_sporting,state_government
1,1896,AUS,2,0,5874,2,4,AUSTRALIA,0.063,0.016393443,0.008,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,53.44200134277344,,7.5915799,,,,,,,,,,,,,,,,,,,,,,
1,1896,AUT,5,0,4305,3,4,AUSTRIA,0.048,0.040983607,0.012,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,15.25059986114502,15.21560001373291,3.680579900741577,11.535020112991333,3.7155797481536865,85.72499847,9.9700003,1.5361,,,,,,,,,,,,,,,,,,,,,,
1,1896,DEN,6,0,4521,4,4,DENMARK,0.009,0.049180328,0.016,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,6.156750202178955,6.2228498458862305,0.6421149969100952,5.580734848976135,0.5760153532028198,18.59079933166504,6.0640998,3.69069,,,,,,,,,,,,,,,,,,,,,,
1,1896,FRA,11,0,4280,19,4,FRANCE,0.084,0.090163934,0.076,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,11.947999954223633,11.979299545288086,3.1295599937438965,8.849739552,3.0982604026794434,105.13500213623047,2.9400001,4.76858,,,,,,,,,,,,,,,,,,,,,,
1,1896,GBR,7,0,7211,14,4,GREAT BRITAIN,0.094,0.057377049,0.056,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1896,GER,13,0,4368,22,4,GERMANY,0.071,0.106557377,0.088,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,17.41950035095215,16.79319953918457,1.7934999465942383,14.999699592590332,2.4198007583618164,43.767398834228516,4.71387,3.50877,,,,,,,,,,,,,,,,,,,,,,
1,1896,GRE,47,1,2359,139,4,GREECE,0.12,0.385245902,0.556,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,17.889999389648438,17.065500259399414,4.110410213470459,12.955090045928955,4.934909343719482,223.49600219726562,,-8.4956398,,,,,,,,,,,,,,,,,,,,,,
1,1896,HUN,6,0,2547.8,14,4,HUNGARY,0.23,0.049180328,0.056,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1896,MIX,2,0,,,,MIXED TEAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1896,SUI,3,0,5967.245071,2,4,SWITZERLAND,0.018,0.024590164,0.008,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,3.4210701,2.58724,,,,,,,,,,,,,,,,,,,,,,
