edition_id,year,code,total_medals,host,gdppc,participants,hdi,country,gender_index,total_medals%,participants%,n_country
1,1896,USA,20.0,0,6885.6736,22.0,4.0,United States,0.18,0.163934426229508,0.088,13.0
1,1896,GRE,47.0,1,2359.0,139.0,4.0,Greece,0.12,0.385245901639344,0.556,13.0
1,1896,GER,13.0,0,4368.0,22.0,4.0,Germany,0.071,0.10655737704918,0.088,13.0
1,1896,FRA,11.0,0,4280.0,19.0,4.0,France,0.084,0.0901639344262295,0.076,13.0
1,1896,GBR,7.0,0,7211.0,14.0,4.0,Great Britain,0.094,0.0573770491803279,0.056,13.0
1,1896,HUN,6.0,0,2547.8,14.0,4.0,Hungary,0.23,0.0491803278688525,0.056,13.0
1,1896,AUT,5.0,0,4305.0,3.0,4.0,Austria,0.048,0.040983606557377,0.012,13.0
1,1896,AUS,2.0,0,5874.0,2.0,4.0,Australia,0.063,0.0163934426229508,0.008,13.0
1,1896,DEN,6.0,0,4521.0,4.0,4.0,Denmark,0.009,0.0491803278688525,0.016,13.0
1,1896,SUI,3.0,0,5967.24507057932,2.0,4.0,Switzerland,0.018,0.0245901639344262,0.008,13.0
1,1896,MIX,2.0,0,,,,Mixed team,,,,
2,1900,FRA,112.0,1,4584.0,1042.0,4.0,France,0.084,0.394366197183099,0.65991133628879,27.0
2,1900,USA,48.0,0,8037.5712,92.0,4.0,United States,0.18,0.169014084507042,0.058264724509183,27.0
2,1900,GBR,37.0,0,7594.0,94.0,4.0,Great Britain,0.094,0.130281690140845,0.0595313489550348,27.0
2,1900,BEL,18.0,0,5947.0,66.0,4.0,Belgium,0.044,0.0633802816901408,0.0417986067131096,27.0
2,1900,SUI,10.0,0,6611.77821356305,27.0,4.0,Switzerland,0.018,0.0352112676056338,0.0170994300189994,27.0
2,1900,GER,9.0,0,4758.0,57.0,4.0,Germany,0.071,0.0316901408450704,0.0360987967067764,27.0
2,1900,ITA,5.0,0,3264.0,42.0,4.0,Italy,0.057,0.0176056338028169,0.0265991133628879,27.0
2,1900,DEN,6.0,0,4809.0,13.0,4.0,Denmark,0.009,0.0211267605633803,0.0082330588980367,27.0
2,1900,MIX,6.0,0,,,,Mixed team,,,,
2,1900,NED,6.0,0,5306.0,35.0,4.0,Netherlands,0.025,0.0211267605633803,0.0221659278024066,27.0
2,1900,HUN,5.0,0,2681.0,22.0,4.0,Hungary,0.23,0.0176056338028169,0.0139328689043699,27.0
2,1900,CUB,2.0,0,1691.4,1.0,3.0,Cuba,0.3,0.0070422535211267,0.0006333122229259,27.0
2,1900,ESP,1.0,0,2672.39052813789,11.0,4.0,Spain,0.059,0.0035211267605633,0.0069664344521849,27.0
2,1900,AUT,6.0,0,4594.0,21.0,4.0,Austria,0.048,0.0211267605633803,0.013299556681444,27.0
2,1900,NOR,5.0,0,3249.0,8.0,4.0,Norway,0.012,0.0176056338028169,0.0050664977834072,27.0
2,1900,IND,2.0,0,955.0,1.0,2.0,India,0.437,0.0070422535211267,0.0006333122229259,27.0
2,1900,BOH,2.0,0,2015.99376130863,11.0,,Bohemia,0.224,0.0070422535211267,0.0069664344521849,27.0
2,1900,AUS,3.0,0,6397.0,2.0,4.0,Australia,0.063,0.0105633802816901,0.0012666244458518,27.0
2,1900,SWE,1.0,0,3320.0,11.0,4.0,Sweden,0.023,0.0035211267605633,0.0069664344521849,27.0
3,1904,USA,248.0,1,8663.6584,920.0,4.0,United States,0.18,0.885714285714286,0.923694779116466,10.0
3,1904,GER,14.0,0,4914.0,22.0,4.0,Germany,0.071,0.05,0.0220883534136546,10.0
3,1904,CAN,6.0,0,5228.0,19.0,4.0,Canada,0.069,0.0214285714285714,0.0190763052208835,10.0
3,1904,CUB,3.0,0,1809.0,4.0,3.0,Cuba,0.3,0.0107142857142857,0.0040160642570281,10.0
3,1904,HUN,4.0,0,2883.8,4.0,4.0,Hungary,0.23,0.0142857142857143,0.0040160642570281,10.0
3,1904,GBR,2.0,0,7455.0,5.0,4.0,Great Britain,0.094,0.0071428571428571,0.0050200803212851,10.0
3,1904,GRE,2.0,0,2498.0,13.0,4.0,Greece,0.12,0.0071428571428571,0.0130522088353414,10.0
3,1904,MIX,1.0,0,,,,Mixed team,,,,
5,1908,GBR,146.0,1,7461.0,524.0,4.0,Great Britain,0.094,0.450617283950617,0.295544275239707,23.0
5,1908,USA,47.0,0,8975.97607347158,157.0,4.0,United States,0.18,0.145061728395062,0.0885504794134236,23.0
5,1908,SWE,25.0,0,3959.0,121.0,4.0,Sweden,0.023,0.0771604938271605,0.0682459108855048,23.0
5,1908,FRA,19.0,0,4854.0,197.0,4.0,France,0.084,0.058641975308642,0.111111111111111,23.0
5,1908,GER,13.0,0,5187.0,93.0,4.0,Germany,0.071,0.0401234567901235,0.0524534686971235,23.0
5,1908,HUN,9.0,0,3086.6,129.0,4.0,Hungary,0.23,0.0277777777777778,0.0727580372250423,23.0
5,1908,CAN,16.0,0,5694.0,73.0,4.0,Canada,0.069,0.0493827160493827,0.0411731528482797,23.0
5,1908,NOR,8.0,0,3612.0,39.0,4.0,Norway,0.012,0.0246913580246914,0.0219966159052453,23.0
5,1908,ITA,4.0,0,3795.0,54.0,4.0,Italy,0.057,0.0123456790123457,0.0304568527918782,23.0
5,1908,BEL,8.0,0,6269.0,66.0,4.0,Belgium,0.044,0.0246913580246914,0.0372250423011844,23.0
5,1908,ANZ,5.0,0,9031.9228265999,18.0,,Australasia,0.34,0.0154320987654321,0.0101522842639594,23.0
5,1908,RUS,3.0,0,973.489308271247,7.0,4.0,Russian Federation,0.178,0.0092592592592592,0.0039481105470953,23.0
5,1908,FIN,5.0,0,2915.0,41.0,4.0,Finland,0.032,0.0154320987654321,0.0231246474901297,23.0
5,1908,RSA,2.0,0,2283.0,20.0,3.0,South Africa,0.401,0.0061728395061728,0.0112803158488438,23.0
5,1908,GRE,4.0,0,2550.0,22.0,4.0,Greece,0.12,0.0123456790123457,0.0124083474337281,23.0
5,1908,DEN,5.0,0,5662.0,48.0,4.0,Denmark,0.009,0.0154320987654321,0.027072758037225,23.0
5,1908,BOH,2.0,0,2195.7410628446,29.0,,Bohemia,0.224,0.0061728395061728,0.0163564579808235,23.0
5,1908,NED,2.0,0,5628.0,102.0,4.0,Netherlands,0.025,0.0061728395061728,0.0575296108291032,23.0
5,1908,AUT,1.0,0,5292.0,22.0,4.0,Austria,0.048,0.0030864197530864,0.0124083474337281,23.0
6,1912,USA,64.0,0,9976.56705254048,229.0,4.0,United States,0.18,0.201892744479495,0.0990056204063986,29.0
6,1912,SWE,65.0,1,4312.0,386.0,4.0,Sweden,0.023,0.205047318611987,0.166882836143537,29.0
6,1912,GBR,41.0,0,7954.0,253.0,4.0,Great Britain,0.094,0.129337539432177,0.109381755296152,29.0
6,1912,FIN,26.0,0,3223.0,118.0,4.0,Finland,0.032,0.082018927444795,0.0510159965412884,29.0
6,1912,FRA,15.0,0,5601.0,206.0,4.0,France,0.084,0.0473186119873817,0.0890618244703848,29.0
6,1912,GER,26.0,0,5617.0,148.0,4.0,Germany,0.071,0.082018927444795,0.0639861651534803,29.0
6,1912,ITA,8.0,0,3875.0,74.0,4.0,Italy,0.057,0.0252365930599369,0.0319930825767402,29.0
6,1912,RSA,6.0,0,1839.75,25.0,3.0,South Africa,0.401,0.0189274447949527,0.0108084738434933,29.0
6,1912,NOR,10.0,0,4050.0,117.0,4.0,Norway,0.012,0.0315457413249211,0.0505836575875486,29.0
