"year","gdppc","code"
1896,1156,"AFG"
1900,1156,"AFG"
1904,1156,"AFG"
1908,1156,"AFG"
1912,1156,"AFG"
1916,1156,"AFG"
1920,1156,"AFG"
1924,1156,"AFG"
1928,1156,"AFG"
1932,1156,"AFG"
1936,1156,"AFG"
1940,1156,"AFG"
1944,1156,"AFG"
1948,1156,"AFG"
1952,1189,"AFG"
1956,1278,"AFG"
1960,1326,"AFG"
1964,1291,"AFG"
1968,1290,"AFG"
1972,1007,"AFG"
1976,1105,"AFG"
1980,1019,"AFG"
1984,1337,"AFG"
1988,1101,"AFG"
1992,843.875348899883,"AFG"
1996,600.175264462535,"AFG"
2000,502.372745598633,"AFG"
2004,869.039272786813,"AFG"
2008,1319.60736728553,"AFG"
2012,1945,"AFG"
2016,1931.2438124834,"AFG"
2020,1928.45468284413,"AFG"
1896,1036.4,"ALB"
1900,1092,"ALB"
1904,1152.4,"ALB"
1908,1212.8,"ALB"
1912,1276.33333333333,"ALB"
1916,1327.3125,"ALB"
1920,1373.0625,"ALB"
1924,1418.8125,"ALB"
1928,1464.5625,"ALB"
1932,1493.14285714286,"ALB"
1936,1516,"ALB"
1940,1538.85714285714,"ALB"
1944,1561.71428571429,"ALB"
1948,1584.57142857143,"ALB"
1952,1667,"ALB"
1956,1902,"ALB"
1960,2313,"ALB"
1964,2576,"ALB"
1968,2979,"ALB"
1972,3451,"ALB"
1976,3665,"ALB"
1980,3741,"ALB"
1984,3826,"ALB"
1988,3920,"ALB"
1992,2841.76516466455,"ALB"
1996,3965.68531531917,"ALB"
2000,4808.47961481352,"ALB"
2004,6419.87039572498,"ALB"
2008,8522.12984128861,"ALB"
2012,9634.33370462354,"ALB"
2016,10547.2552096775,"ALB"
2020,11372.5414213064,"ALB"
1896,1571.72093023256,"ALG"
1900,1638.13953488372,"ALG"
1904,1704.55813953488,"ALG"
1908,1770.97674418605,"ALG"
1912,1837.39534883721,"ALG"
1916,1880.10810810811,"ALG"
1920,1914.91891891892,"ALG"
1924,1949.72972972973,"ALG"
1928,1984.54054054054,"ALG"
