"edition_id","country_noc","participants"
1,"AUS",2
1,"AUT",3
1,"BUL",1
1,"DEN",4
1,"FRA",19
1,"GBR",14
1,"GER",22
1,"GRE",139
1,"HUN",14
1,"ITA",5
1,"SUI",2
1,"SWE",3
1,"USA",22
2,"ARG",3
2,"AUS",2
2,"AUT",21
2,"BEL",66
2,"BOH",11
2,"CUB",1
2,"DEN",13
2,"ESP",11
2,"FRA",1042
2,"GBR",94
2,"GER",57
2,"GRE",2
2,"HAI",2
2,"HUN",22
2,"IND",1
2,"IRI",1
2,"ITA",42
2,"MEX",1
2,"NED",35
2,"NOR",8
2,"PER",3
2,"ROU",1
2,"RUS",6
2,"SUI",27
2,"SWE",11
2,"UNK",4
2,"USA",92
3,"AUS",4
3,"CAN",19
3,"CUB",4
3,"GBR",5
3,"GER",22
3,"GRE",13
3,"HUN",4
3,"ITA",1
3,"RSA",4
3,"USA",920
5,"ANZ",18
5,"ARG",1
5,"AUT",22
5,"BEL",66
5,"BOH",29
5,"CAN",73
5,"DEN",48
5,"FIN",41
5,"FRA",197
5,"GBR",524
5,"GER",93
5,"GRE",22
5,"HUN",129
5,"ISL",5
5,"ITA",54
5,"NED",102
5,"NOR",39
5,"RSA",20
5,"RUS",7
5,"SUI",4
5,"SWE",121
5,"TUR",1
5,"USA",157
6,"ANZ",19
6,"AUT",84
6,"BEL",40
6,"BOH",61
6,"CAN",32
6,"CHI",16
6,"DEN",97
6,"FIN",118
6,"FRA",206
6,"GBR",253
6,"GER",148
6,"GRE",36
6,"HUN",147
6,"ISL",6
6,"ITA",74
6,"JPN",2
6,"LUX",10
6,"NED",25
6,"NOR",117
6,"POL",1
6,"POR",8
6,"RSA",25
6,"RUS",159
6,"SRB",3
6,"SUI",7
6,"SWE",386
6,"TUR",2
6,"UNK",2
6,"USA",229
7,"ARG",1
7,"AUS",16
7,"BEL",219
7,"BRA",14
7,"CAN",45
7,"CHI",2
7,"DEN",107
7,"EGY",8
7,"ESP",41
7,"EST",14
7,"FIN",69
7,"FRA",241
7,"GBR",162
7,"GRE",40
7,"IND",6
7,"ITA",133
7,"JPN",16
7,"LUX",16
7,"MON",4
7,"NED",90
7,"NOR",100
7,"NZL",4
7,"POR",14
7,"RSA",48
7,"SUI",58
7,"SWE",204
7,"TCH",79
7,"USA",258
7,"YUG",1
8,"ARG",64
8,"AUS",32
8,"AUT",78
8,"BEL",154
8,"BRA",13
8,"BUL",16
8,"CAN",63
8,"CHI",16
8,"CUB",11
8,"DEN",105
8,"ECU",3
8,"EGY",13
8,"ESP",91
8,"EST",30
8,"FIN",133
8,"FRA",363
8,"GBR",247
8,"GRE",43
8,"HAI",9
8,"HUN",103
8,"IND",18
8,"IRL",38
8,"ITA",194
8,"JPN",22
8,"LAT",27
8,"LTU",3
8,"LUX",48
8,"MEX",21
8,"MON",7
8,"NED",149
8,"NOR",71
8,"NZL",4
8,"PHI",3
8,"POL",56
8,"POR",29
8,"ROU",12
8,"RSA",32
8,"RUS",4
8,"SUI",124
8,"SWE",152
8,"TCH",145
8,"TUR",19
8,"URU",18
8,"USA",253
8,"YUG",40
