"edition_id","year","n_athlete","n_country","n_medal"
1,1896,250,13,122
2,1900,1579,27,284
3,1904,996,10,280
5,1908,1773,23,324
6,1912,2313,29,317
7,1920,2010,29,449
8,1924,3076,45,392
9,1928,2783,46,356
10,1932,1750,47,370
11,1936,3531,49,422
12,1948,3390,59,443
13,1952,4060,69,459
14,1956,2483,67,451
15,1960,4175,84,461
16,1964,3959,93,504
17,1968,4383,112,527
18,1972,5364,121,600
19,1976,4469,92,613
20,1980,3705,80,631
21,1984,5242,140,688
22,1988,6815,159,739
23,1992,7345,169,815
24,1996,7658,197,842
25,2000,7835,200,927
26,2004,7714,201,926
53,2008,8096,204,958
54,2012,7865,205,960
59,2016,8284,207,972
61,2020,8179,206,1080
