"edition_id","year","code","participants"
1,1896,"AUS",2
1,1896,"AUT",3
1,1896,"BUL",1
1,1896,"DEN",4
1,1896,"FRA",19
1,1896,"GBR",14
1,1896,"GER",22
1,1896,"GRE",139
1,1896,"HUN",14
1,1896,"ITA",5
1,1896,"SUI",2
1,1896,"SWE",3
1,1896,"USA",22
2,1900,"ARG",3
2,1900,"AUS",2
2,1900,"AUT",21
2,1900,"BEL",66
2,1900,"BOH",11
2,1900,"CUB",1
2,1900,"DEN",13
2,1900,"ESP",11
2,1900,"FRA",1042
2,1900,"GBR",94
2,1900,"GER",57
2,1900,"GRE",2
2,1900,"HAI",2
2,1900,"HUN",22
2,1900,"IND",1
2,1900,"IRI",1
2,1900,"ITA",42
2,1900,"MEX",1
2,1900,"NED",35
2,1900,"NOR",8
2,1900,"PER",3
2,1900,"ROU",1
2,1900,"RUS",6
2,1900,"SUI",27
2,1900,"SWE",11
2,1900,"UNK",4
2,1900,"USA",92
3,1904,"AUS",4
3,1904,"CAN",19
3,1904,"CUB",4
3,1904,"GBR",5
3,1904,"GER",22
3,1904,"GRE",13
3,1904,"HUN",4
3,1904,"ITA",1
3,1904,"RSA",4
3,1904,"USA",920
5,1908,"ANZ",18
5,1908,"ARG",1
5,1908,"AUT",22
5,1908,"BEL",66
5,1908,"BOH",29
5,1908,"CAN",73
5,1908,"DEN",48
5,1908,"FIN",41
5,1908,"FRA",197
5,1908,"GBR",524
5,1908,"GER",93
5,1908,"GRE",22
5,1908,"HUN",129
5,1908,"ISL",5
5,1908,"ITA",54
5,1908,"NED",102
5,1908,"NOR",39
5,1908,"RSA",20
5,1908,"RUS",7
5,1908,"SUI",4
5,1908,"SWE",121
5,1908,"TUR",1
5,1908,"USA",157
6,1912,"ANZ",19
6,1912,"AUT",84
6,1912,"BEL",40
6,1912,"BOH",61
6,1912,"CAN",32
6,1912,"CHI",16
6,1912,"DEN",97
6,1912,"FIN",118
6,1912,"FRA",206
6,1912,"GBR",253
