"code","hdi"
"SUI","4"
"NOR","4"
"ISL","4"
"HKG","4"
"DEN","4"
"SWE","4"
"GER","4"
"IRL","4"
"SGP","4"
"AUS","4"
"NED","4"
"BEL","4"
"FIN","4"
"LIE","4"
"GBR","4"
"NZL","4"
"UAE","4"
"CAN","4"
"KOR","4"
"COR","4"
"LUX","4"
"USA","4"
"AUT","4"
"SLO","4"
"JPN","4"
"ISR","4"
"MLT","4"
"ESP","4"
"FRA","4"
"CYP","4"
"ITA","4"
"EST","4"
"CZE","4"
"GRE","4"
"BRN","4"
"AND","4"
"POL","4"
"LAT","4"
"LTU","4"
"CRO","4"
"QAT","4"
"KSA","4"
"POR","4"
"SMR","4"
"CHI","4"
"SVK","4"
"TUR","4"
"HUN","4"
"ARG","4"
"KUW","4"
"MNE","4"
"SKN","4"
"URU","4"
"ROU","4"
"ANT","4"
"BRU","4"
"RUS","4"
"BAH","4"
"PAN","4"
"OMA","4"
"GEO","4"
"TTO","4"
"BAR","4"
"MAS","4"
"CRC","4"
"SRB","4"
"THA","4"
"KAZ","4"
"SEY","4"
"BLR","4"
"SCG","4"
"BUL","3"
"PLW","3"
"MRI","3"
"GRN","3"
"ALB","3"
"CHN","3"
"ARM","3"
"MEX","3"
"IRI","3"
"SRI","3"
"BIH","3"
"VIN","3"
"DMA","3"
"ECU","3"
"MKD","3"
"CUB","3"
"MDA","3"
"MDV","3"
"PER","3"
"AZE","3"
"BRA","3"
"COL","3"
"LBA","3"
"ALG","3"
"TKM","3"
"GUY","3"
"MGL","3"
"TGA","3"
"JOR","3"
"UKR","3"
"TUN","3"
"MHL","3"
"PAR","3"
"FIJ","3"
"EGY","3"
"UZB","3"
"VIE","3"
"LCA","3"
"LBN","3"
"RSA","3"
"PLE","3"
"INA","3"
"PHI","3"
"BOT","3"
"JAM","3"
"SAM","3"
"KGZ","3"
"BIZ","3"
"VEN","2"
"BOL","2"
"MAR","2"
"NRU","2"
"GAB","2"
"SUR","2"
"BHU","2"
"TJK","2"
"ESA","2"
"IRQ","2"
"BAN","2"
"NCA","2"
"CPV","2"
"TUV","2"
"GEQ","2"
"IND","2"
"FSM","2"
"GUA","2"
"KIR","2"
"HON","2"
"LAO","2"
"VAN","2"
"SWZ","2"
"NAM","2"
"MYA","2"
"GHA","2"
"KEN","2"
"NEP","2"
"CAM","2"
"CGO","2"
"ANG","2"
"CMR","2"
"COM","2"
"ZAM","2"
"PNG","2"
"TLS","2"
"SOL","2"
"SYR","2"
"HAI","2"
"UGA","2"
"ZIM","2"
"ASA","2"
"STP","2"
"NGR","1"
"RWA","1"
"TOG","1"
"MTN","1"
"PAK","1"
"CIV","1"
"TAN","1"
"LES","1"
"SEN","1"
"SUD","1"
"DJI","1"
"MAW","1"
"BEN","1"
"GAM","1"
"ERI","1"
"ETH","1"
"LBR","1"
"MAD","1"
"GBS","1"
"COD","1"
"GUI","1"
"AFG","1"
"MOZ","1"
"SLE","1"
"BUR","1"
"YEM","1"
"BDI","1"
"MLI","1"
"CHA","1"
"NIG","1"
"CAF","1"
"SSD","1"
"SOM","1"
