"edition_id","year","code","total","host"
1,1896,"USA",20,0
1,1896,"GRE",47,1
1,1896,"GER",13,0
1,1896,"FRA",11,0
1,1896,"GBR",7,0
1,1896,"HUN",6,0
1,1896,"AUT",5,0
1,1896,"AUS",2,0
1,1896,"DEN",6,0
1,1896,"SUI",3,0
1,1896,"MIX",2,0
2,1900,"FRA",112,1
2,1900,"USA",48,0
2,1900,"GBR",37,0
2,1900,"BEL",18,0
2,1900,"SUI",10,0
2,1900,"GER",9,0
2,1900,"ITA",5,0
2,1900,"DEN",6,0
2,1900,"MIX",6,0
2,1900,"NED",6,0
2,1900,"HUN",5,0
2,1900,"CUB",2,0
2,1900,"ESP",1,0
2,1900,"AUT",6,0
2,1900,"NOR",5,0
2,1900,"IND",2,0
2,1900,"BOH",2,0
2,1900,"AUS",3,0
2,1900,"SWE",1,0
3,1904,"USA",248,1
3,1904,"GER",14,0
3,1904,"CAN",6,0
3,1904,"CUB",3,0
3,1904,"HUN",4,0
3,1904,"GBR",2,0
3,1904,"GRE",2,0
3,1904,"MIX",1,0
5,1908,"GBR",146,1
5,1908,"USA",47,0
5,1908,"SWE",25,0
5,1908,"FRA",19,0
5,1908,"GER",13,0
5,1908,"HUN",9,0
5,1908,"CAN",16,0
5,1908,"NOR",8,0
5,1908,"ITA",4,0
5,1908,"BEL",8,0
5,1908,"ANZ",5,0
5,1908,"RUS",3,0
5,1908,"FIN",5,0
5,1908,"RSA",2,0
5,1908,"GRE",4,0
5,1908,"DEN",5,0
5,1908,"BOH",2,0
5,1908,"NED",2,0
5,1908,"AUT",1,0
6,1912,"USA",64,0
6,1912,"SWE",65,1
6,1912,"GBR",41,0
6,1912,"FIN",26,0
6,1912,"FRA",15,0
6,1912,"GER",26,0
6,1912,"ITA",8,0
6,1912,"RSA",6,0
6,1912,"NOR",10,0
6,1912,"CAN",8,0
6,1912,"HUN",8,0
6,1912,"ANZ",7,0
6,1912,"BEL",6,0
6,1912,"DEN",12,0
6,1912,"GRE",2,0
6,1912,"SUI",1,0
6,1912,"RUS",5,0
6,1912,"AUT",4,0
6,1912,"NED",3,0
7,1920,"USA",95,0
7,1920,"SWE",64,0
7,1920,"BEL",42,1
7,1920,"FIN",34,0
7,1920,"GBR",43,0
7,1920,"ITA",25,0
7,1920,"NOR",32,0
7,1920,"FRA",42,0
7,1920,"NED",11,0
7,1920,"DEN",13,0
7,1920,"RSA",10,0
7,1920,"CAN",9,0
7,1920,"SUI",11,0
7,1920,"EST",3,0
7,1920,"BRA",3,0
7,1920,"AUS",3,0
7,1920,"JPN",2,0
7,1920,"ESP",2,0
7,1920,"GRE",1,0
7,1920,"LUX",1,0
